id,date,time,venue,team1-id,team2-id,,odds1,odds2,,
ODI 01,2023-10-05 14:00,14:00,Ahmedabad,ENG,NZL,,1.4,2.8,,"""ODI 01"":  {[TEAM.ENG]: 1.4, [TEAM.NZL]: 2.8},"
ODI 02,2023-10-06 14:00,14:00,Hyderabad,PAK,NLD,,1.04,11.05,,"""ODI 02"":  {[TEAM.PAK]: 1.04, [TEAM.NLD]: 11.05},"
ODI 03,2023-10-07 10:30,10:30,Dharamshala,AFG,BGD,,2.14,1.68,,"""ODI 03"":  {[TEAM.AFG]: 2.14, [TEAM.BGD]: 1.68},"
ODI 04,2023-10-07 14:00,14:00,Delhi,ZAF,LKA,,1.44,2.72,,"""ODI 04"":  {[TEAM.ZAF]: 1.44, [TEAM.LKA]: 2.72},"
ODI 05,2023-10-08 14:00,14:00,Chennai,AUS,IND,,2.29,1.61,,"""ODI 05"":  {[TEAM.AUS]: 2.29, [TEAM.IND]: 1.61},"
ODI 06,2023-10-09 14:00,14:00,Hyderabad,NZL,NLD,,1.1,6.35,,"""ODI 06"":  {[TEAM.NZL]: 1.1, [TEAM.NLD]: 6.35},"
ODI 07,2023-10-10 10:30,10:30,Dharamshala,BGD,ENG,,3.98,1.23,,"""ODI 07"":  {[TEAM.BGD]: 3.98, [TEAM.ENG]: 1.23},"
ODI 08,2023-10-10 14:00,14:00,Hyderabad,PAK,LKA,,1.44,2.7,,"""ODI 08"":  {[TEAM.PAK]: 1.44, [TEAM.LKA]: 2.7},"
ODI 09,2023-10-11 14:00,14:00,Delhi,AFG,IND,,4.95,1.16,,"""ODI 09"":  {[TEAM.AFG]: 4.95, [TEAM.IND]: 1.16},"
ODI 10,2023-10-13 14:00,14:00,Lucknow,AUS,ZAF,,1.61,2.26,,"""ODI 10"":  {[TEAM.AUS]: 1.61, [TEAM.ZAF]: 2.26},"
ODI 11,2023-10-14 14:00,14:00,Chennai,BGD,NZL,,,,,
ODI 12,2023-10-14 14:00,14:00,Ahmedabad,IND,PAK,,,,,
ODI 13,2023-10-15 14:00,14:00,Delhi,AFG,ENG,,,,,
ODI 14,2023-10-16 14:00,14:00,Lucknow,AUS,LKA,,,,,
ODI 15,2023-10-17 14:00,14:00,Dharamshala,ZAF,NLD,,,,,
ODI 16,2023-10-18 14:00,14:00,Chennai,AFG,NZL,,,,,
ODI 17,2023-10-19 14:00,14:00,Pune,BGD,IND,,,,,
ODI 18,2023-10-20 14:00,14:00,Bengaluru,AUS,PAK,,,,,
ODI 19,2023-10-21 10:30,10:30,Lucknow,NLD,LKA,,,,,
ODI 20,2023-10-21 14:00,14:00,Mumbai,ENG,ZAF,,,,,
ODI 21,2023-10-22 14:00,14:00,Dharamshala,IND,NZL,,,,,
ODI 22,2023-10-23 14:00,14:00,Chennai,AFG,PAK,,,,,
ODI 23,2023-10-24 14:00,14:00,Mumbai,BGD,ZAF,,,,,
ODI 24,2023-10-25 14:00,14:00,Delhi,AUS,NLD,,,,,
ODI 25,2023-10-26 14:00,14:00,Bengaluru,ENG,LKA,,,,,
ODI 26,2023-10-27 14:00,14:00,Chennai,PAK,ZAF,,,,,
ODI 27,2023-10-28 10:30,10:30,Dharamshala,AUS,NZL,,,,,
ODI 28,2023-10-28 14:00,14:00,Kolkata,BGD,NLD,,,,,
ODI 29,2023-10-29 14:00,14:00,Lucknow,ENG,IND,,,,,
ODI 30,2023-10-30 14:00,14:00,Pune,AFG,LKA,,,,,
ODI 31,2023-10-31 14:00,14:00,Kolkata,BGD,PAK,,,,,
ODI 32,2023-11-01 14:00,14:00,Pune,NZL,ZAF,,,,,
ODI 33,2023-11-02 14:00,14:00,Mumbai,IND,LKA,,,,,
ODI 34,2023-11-03 14:00,14:00,Lucknow,AFG,NLD,,,,,
ODI 35,2023-11-04 10:30,10:30,Bengaluru,NZL,PAK,,,,,
ODI 36,2023-11-04 14:00,14:00,Ahmedabad,AUS,ENG,,,,,
ODI 37,2023-11-05 14:00,14:00,Kolkata,IND,ZAF,,,,,
ODI 38,2023-11-06 14:00,14:00,Delhi,BGD,LKA,,,,,
ODI 39,2023-11-07 14:00,14:00,Mumbai,AUS,AFG,,,,,
ODI 40,2023-11-08 14:00,14:00,Pune,ENG,NLD,,,,,
ODI 41,2023-11-09 14:00,14:00,Bengaluru,NZL,LKA,,,,,
ODI 42,2023-11-10 14:00,14:00,Ahmedabad,AFG,ZAF,,,,,
ODI 43,2023-11-11 10:30,10:30,Pune,AUS,BGD,,,,,
ODI 44,2023-11-11 14:00,14:00,Kolkata,ENG,PAK,,,,,
ODI 45,2023-11-12 14:00,14:00,Bengaluru,IND,NLD,,,,,
